관측소, 오존농도, 미세먼지(㎍/m³), 초미세먼지(㎍/m³)
강남구, 0.023, 65, 47
강남대로, 0.023, 80, 49
강동구, 0.025, 68, 44
강변북로, 0.015, 77, 46
강북구, 0.034, 74, 43
강서구, 0.031, 80, 47
공항대로, 0.020, 77, 52
관악구, 0.033, 77, 51
관악산, 0.032, 63, 36
광진구, 0.024, 70, 46
구로구, 0.028, 73, 45
궁동, 0.022, 63, 40
금천구, 0.027, 67, 42
남산, 0.036, 64, 41
노원구, 0.025, 68, 46
도봉구, 0.032, 66, 43
도산대로, 0.020, 76, 50
동대문구, 0.031, 65, 44
동작구, 0.031, 69, 47
동작대로, 0.017, 78, 46
마포구, 0.027, 78, 49
북한산, 0.036, 61, 41
서대문구, 0.029, 70, 48
서초구, 0.028, 75, 49
성동구, 0.028, 82, 52
